iter	RMSE
0	0.512126692
1	0.4975856088
2	0.4825586502
3	0.4692143217
4	0.4570450889
5	0.4470202819
6	0.4368903007
7	0.4279057943
8	0.4205298052
9	0.413692768
10	0.4060171081
11	0.3991497451
12	0.3931276615
13	0.3877674476
14	0.3830708818
15	0.3786633047
16	0.3742109391
17	0.3710415455
18	0.3682447248
19	0.3648481703
20	0.3622632105
21	0.3601441314
22	0.357836345
23	0.3560357579
24	0.3543045223
25	0.3527187594
26	0.3509480499
27	0.3494146437
28	0.3479695819
29	0.3465444125
30	0.3454136299
31	0.3444263507
32	0.3434969836
33	0.3427670511
34	0.3418395228
35	0.3408348974
36	0.3401346872
37	0.3393415965
38	0.3386331329
39	0.337996509
40	0.3373642322
41	0.3364944215
42	0.3359648906
43	0.3353245325
44	0.3348966593
45	0.334474531
46	0.3340545585
47	0.3337373839
48	0.3334114394
49	0.3330285778
50	0.3326577063
51	0.3323748205
52	0.3320847584
53	0.3316776848
54	0.3314356081
55	0.330989448
56	0.3306664427
57	0.3304083969
58	0.3301560002
59	0.3299386841
60	0.3297669275
61	0.3295502792
62	0.3293635628
63	0.3292161256
64	0.3290547494
65	0.3288908214
66	0.3287432969
67	0.3283426644
68	0.328100491
69	0.3279397496
70	0.3278042817
71	0.3275894615
72	0.3273271745
73	0.3271709272
74	0.3270361075
75	0.3268848405
76	0.326809365
77	0.3266991812
78	0.3265354265
79	0.3264240604
80	0.3262856959
81	0.3261910872
82	0.3260976909
83	0.3259593585
84	0.3258068385
85	0.3256778716
86	0.3255849403
87	0.3254536243
88	0.325279767
89	0.3252102295
90	0.325163758
91	0.325091181
92	0.3250187083
93	0.3248663528
94	0.3248097952
95	0.3246246195
96	0.3245407328
97	0.324487997
98	0.3243718285
99	0.3242409637
100	0.3241289325
101	0.3240299263
102	0.3239682232
103	0.3238904945
104	0.3238008183
105	0.3237089895
106	0.3236529025
107	0.3235568736
108	0.3234272206
109	0.3233567321
110	0.3231615098
111	0.3230320659
112	0.3228789929
113	0.3228264571
114	0.3227445128
115	0.3226712206
116	0.3225655601
117	0.3225123211
118	0.3224250152
119	0.3223706053
120	0.3222942213
121	0.3222117621
122	0.3221023525
123	0.322007822
124	0.3219575724
125	0.3219017846
126	0.3218032176
127	0.3217413272
128	0.3217060443
129	0.3216479936
130	0.3216208853
131	0.3215664891
132	0.3214530589
133	0.3214045215
134	0.3213158336
135	0.3212693114
136	0.3212252152
137	0.3211636238
138	0.3211014004
139	0.3210367373
140	0.3209825443
141	0.3208875116
142	0.3208555025
143	0.3207659611
144	0.3206351051
145	0.3205449607
146	0.3204769926
147	0.3204047788
148	0.3203530705
149	0.3202935852
150	0.3202467151
151	0.3201213666
152	0.3200770178
153	0.319966118
154	0.3199061586
155	0.3198305363
156	0.3197472613
157	0.3196973591
158	0.3195822111
159	0.3194896467
160	0.3194135508
161	0.3193406594
162	0.319257156
163	0.3191811874
164	0.3191159684
165	0.3190857969
166	0.3190311366
167	0.3189451733
168	0.3188340602
169	0.3187552701
170	0.3187049451
171	0.3186909147
172	0.3186186761
173	0.318555412
174	0.3184239674
175	0.3183858574
176	0.3182817283
177	0.3181807907
178	0.3181562424
179	0.3181338396
180	0.3180622866
181	0.3179996429
182	0.3179395347
183	0.3178472394
184	0.3177813653
185	0.3177281815
186	0.3176530603
187	0.3175272652
188	0.3174863107
189	0.3174005585
190	0.317364376
191	0.3173196484
192	0.317267824
193	0.3171581914
194	0.3171027044
195	0.3170944436
196	0.3170884746
197	0.3169824292
198	0.3169216264
199	0.3168370291
200	0.3167872369
201	0.3167017742
202	0.3165924077
203	0.3165505959
204	0.3164205981
205	0.3163471955
206	0.3162024081
207	0.3161792705
208	0.3160773037
209	0.3159603344
210	0.3158512544
211	0.3158101611
212	0.3157456465
213	0.3156614841
214	0.3156233876
215	0.3156159543
216	0.3155615222
217	0.3154907838
218	0.3154118206
219	0.3154053361
220	0.3153661168
221	0.3153053371
222	0.315245089
223	0.3151966111
224	0.3151841123
225	0.3151392311
226	0.3151348044
227	0.3151295955
228	0.3150326867
229	0.3149722685
230	0.3149260299
231	0.3148301998
232	0.3147613524
233	0.3146969852
234	0.3146243367
235	0.3145360957
236	0.314475363
237	0.314470338
238	0.314466372
239	0.3143902517
240	0.314306703
241	0.3142482049
242	0.3142082859
243	0.3141525812
244	0.3141251686
245	0.3140942151
246	0.3140298674
247	0.3139931534
248	0.3139511541
249	0.313905732
250	0.313867536
251	0.3138522109
252	0.3138485697
253	0.3137573462
254	0.3136881446
255	0.3136119653
256	0.3135419198
257	0.3134950478
258	0.313491612
259	0.3134479269
260	0.3133797689
261	0.3133195725
262	0.3132513582
263	0.3132370709
264	0.31318975
265	0.3131219531
266	0.3130237883
267	0.3129803658
268	0.3129120398
269	0.3128665955
270	0.3128366925
271	0.3128279673
272	0.3127516287
273	0.3126555984
274	0.3126047614
275	0.3125269201
276	0.3124881792
277	0.3124444759
278	0.3123714519
279	0.3123191912
280	0.312234972
281	0.3122308621
282	0.3121944316
283	0.3121423448
284	0.3120766588
285	0.3120303427
286	0.3119995393
287	0.3119936559
288	0.311959442
289	0.3119201831
290	0.3118251582
291	0.3117842838
292	0.311771637
293	0.3117679396
294	0.3117309565
295	0.3117273795
296	0.3116572119
297	0.3115517081
298	0.3114707293
299	0.3113867075
300	0.3113487249
301	0.3113001237
302	0.3112205475
303	0.3111451004
304	0.3110717953
305	0.3109947538
306	0.31090542
307	0.3108553182
308	0.3108213053
309	0.3108158652
310	0.3107810689
311	0.3107111193
312	0.3105981283
313	0.3105269952
314	0.3104680792
315	0.3104054582
316	0.3103425624
317	0.3102911517
318	0.310253302
319	0.310250039
320	0.310247542
321	0.3101729917
322	0.3101708307
323	0.3101436705
324	0.3100661642
325	0.3100172735
326	0.3100140517
327	0.309953681
328	0.3098989703
329	0.3098492884
330	0.3098075949
331	0.3097289403
332	0.3096782328
333	0.3096673851
334	0.3096418902
335	0.3095711052
336	0.309499651
337	0.3094906444
338	0.3094518263
339	0.3094491234
340	0.3094128439
341	0.309382872
342	0.3093744142
343	0.3093421015
344	0.3093393632
345	0.3092895465
346	0.3092751877
347	0.3092488669
348	0.3092458891
349	0.3092432607
350	0.309240927
351	0.309239068
352	0.3091827167
353	0.3091309115
354	0.3090616336
355	0.3090307149
356	0.3089949344
357	0.3089381888
358	0.308904522
359	0.3088440758
360	0.3088344747
361	0.3088080492
