iter	Passed	Remaining
0	6	6825
1	13	6629
2	19	6467
3	25	6355
4	32	6395
5	38	6323
6	44	6327
7	50	6268
8	56	6250
9	62	6222
10	69	6231
11	75	6249
12	82	6226
13	88	6221
14	94	6198
15	100	6178
16	106	6159
17	112	6143
18	118	6110
19	124	6097
20	130	6075
21	136	6048
22	142	6050
23	148	6028
24	154	6011
25	160	5994
26	166	5988
27	173	6039
28	180	6037
29	186	6024
30	192	6014
31	198	6009
32	204	5993
33	211	5998
34	217	5985
35	223	5974
36	229	5961
37	234	5948
38	243	5995
39	255	6123
40	266	6229
41	272	6214
42	278	6204
43	284	6187
44	290	6171
45	296	6145
46	302	6127
47	308	6111
48	313	6091
49	319	6069
50	324	6046
51	330	6023
52	336	6010
53	342	6001
54	348	5980
55	354	5968
56	359	5955
57	366	5944
58	371	5929
59	377	5914
60	383	5901
61	389	5888
62	394	5871
63	400	5854
64	406	5844
65	412	5832
66	418	5821
67	424	5813
68	430	5803
69	435	5792
70	441	5781
71	447	5771
72	453	5763
73	459	5751
74	469	5794
75	475	5782
76	481	5769
77	486	5756
78	492	5747
79	498	5737
80	504	5725
81	510	5715
82	516	5705
83	522	5693
84	528	5685
85	534	5677
86	540	5674
87	546	5665
88	553	5663
89	559	5654
90	565	5645
91	571	5645
92	577	5635
93	585	5641
94	593	5650
95	600	5658
96	606	5648
97	612	5641
98	620	5645
99	626	5638
100	633	5636
101	639	5628
102	645	5619
103	657	5661
104	669	5710
105	683	5765
106	696	5809
107	710	5868
108	718	5874
109	730	5907
110	738	5917
111	751	5957
112	764	5997
113	769	5983
114	775	5969
115	788	6010
116	800	6042
117	812	6076
118	822	6092
119	830	6092
120	837	6082
121	847	6096
122	853	6084
123	860	6080
124	866	6065
125	872	6053
126	883	6071
127	889	6056
128	896	6054
129	903	6044
130	909	6035
131	916	6024
132	923	6017
133	932	6027
134	939	6018
135	946	6012
136	952	5996
137	958	5989
138	965	5979
139	971	5967
140	978	5959
141	984	5951
142	991	5940
143	997	5928
144	1003	5918
145	1010	5913
146	1017	5902
147	1023	5893
148	1029	5879
149	1035	5866
150	1041	5857
151	1048	5849
152	1054	5836
153	1060	5825
154	1065	5810
155	1071	5798
156	1077	5786
157	1083	5773
158	1091	5775
159	1100	5775
160	1111	5791
161	1117	5781
162	1129	5799
163	1137	5797
164	1147	5805
165	1155	5805
166	1164	5810
167	1176	5827
168	1185	5829
169	1196	5842
170	1206	5848
171	1213	5843
172	1222	5842
173	1229	5836
174	1239	5845
175	1245	5832
176	1257	5846
177	1264	5841
178	1277	5857
179	1290	5877
180	1305	5905
181	1312	5901
182	1326	5920
183	1341	5948
184	1355	5972
185	1366	5981
186	1375	5979
187	1382	5973
188	1389	5963
189	1396	5955
190	1403	5943
191	1409	5930
192	1415	5919
193	1422	5908
194	1431	5910
195	1444	5925
196	1455	5931
197	1464	5933
198	1474	5934
199	1492	5969
200	1507	5990
201	1520	6006
202	1530	6007
203	1538	6003
204	1550	6011
205	1557	6002
206	1565	5995
207	1574	5994
208	1584	5997
209	1594	5996
210	1603	5996
211	1616	6008
212	1625	6005
213	1635	6007
214	1646	6010
215	1652	5999
216	1663	6001
217	1674	6008
218	1684	6008
219	1692	6000
220	1698	5987
221	1705	5978
222	1712	5967
223	1718	5953
224	1724	5940
225	1730	5928
226	1736	5912
227	1741	5897
228	1747	5884
229	1753	5871
230	1759	5858
231	1765	5845
232	1771	5832
233	1777	5819
234	1783	5806
235	1790	5795
236	1796	5782
237	1801	5768
238	1807	5754
239	1812	5740
240	1818	5728
241	1824	5715
242	1830	5702
243	1836	5690
244	1842	5676
245	1848	5664
246	1854	5652
247	1859	5639
248	1865	5626
249	1875	5625
250	1887	5631
251	1895	5627
252	1901	5615
253	1907	5602
254	1913	5591
255	1919	5578
256	1925	5567
257	1931	5555
258	1936	5541
259	1942	5529
260	1949	5518
261	1954	5506
262	1960	5494
263	1967	5484
264	1974	5475
265	1980	5463
266	1986	5452
267	1991	5440
268	1999	5432
269	2005	5421
270	2010	5409
271	2016	5397
272	2022	5385
273	2028	5375
274	2034	5364
275	2040	5352
276	2047	5342
277	2052	5331
278	2058	5320
279	2064	5309
280	2070	5298
281	2075	5285
282	2093	5304
283	2099	5293
284	2105	5282
285	2112	5272
286	2117	5260
287	2123	5248
288	2129	5238
289	2134	5226
290	2140	5215
291	2146	5204
292	2151	5192
293	2157	5180
294	2163	5170
295	2168	5158
296	2174	5147
297	2181	5138
298	2187	5127
299	2193	5118
300	2199	5108
301	2206	5099
302	2213	5091
303	2221	5086
304	2227	5076
305	2234	5066
306	2242	5061
307	2248	5051
308	2255	5044
309	2269	5050
310	2279	5051
311	2289	5048
312	2299	5047
313	2312	5052
314	2321	5049
315	2333	5050
316	2346	5056
317	2355	5052
318	2366	5052
319	2380	5057
320	2390	5056
321	2402	5058
322	2415	5063
323	2428	5067
324	2444	5076
325	2457	5081
326	2467	5078
327	2479	5080
328	2492	5083
329	2502	5080
330	2511	5075
331	2525	5081
332	2534	5077
333	2543	5072
334	2556	5074
335	2565	5069
336	2575	5067
337	2587	5067
338	2595	5060
339	2606	5058
340	2614	5053
341	2623	5047
342	2632	5043
343	2641	5036
344	2651	5034
345	2658	5025
346	2670	5025
347	2679	5019
348	2687	5013
349	2695	5006
350	2704	5000
351	2713	4995
352	2721	4987
353	2729	4980
354	2740	4979
355	2746	4968
356	2752	4957
357	2758	4946
358	2764	4935
359	2770	4925
360	2776	4914
361	2782	4903
362	2787	4892
363	2793	4881
364	2799	4869
365	2804	4858
366	2810	4846
367	2815	4836
368	2821	4825
369	2827	4814
370	2833	4803
371	2840	4794
372	2845	4782
373	2852	4774
374	2857	4763
375	2863	4751
376	2870	4742
377	2876	4733
378	2882	4723
379	2889	4713
380	2895	4704
381	2901	4694
382	2913	4694
383	2919	4683
384	2926	4674
385	2931	4663
386	2938	4653
387	2945	4645
388	2951	4636
389	2957	4626
390	2963	4615
391	2972	4610
392	2980	4603
393	2989	4598
394	2999	4594
395	3005	4584
396	3010	4573
397	3016	4562
398	3021	4551
399	3027	4541
400	3033	4531
401	3040	4523
402	3046	4512
403	3051	4502
404	3057	4492
405	3064	4483
406	3074	4479
407	3082	4472
408	3092	4468
409	3103	4465
410	3109	4456
411	3120	4453
412	3127	4444
413	3140	4445
414	3149	4439
415	3157	4433
416	3165	4426
417	3174	4419
418	3187	4419
419	3193	4409
420	3205	4408
421	3214	4402
422	3222	4396
423	3235	4395
424	3242	4387
425	3254	4384
426	3261	4377
427	3272	4373
428	3285	4372
429	3295	4368
430	3304	4363
431	3317	4361
432	3325	4354
433	3335	4349
434	3345	4345
435	3355	4341
436	3367	4338
437	3380	4337
438	3389	4331
439	3399	4326
440	3406	4318
441	3416	4313
442	3427	4309
443	3434	4300
444	3445	4296
445	3453	4289
446	3464	4285
447	3472	4278
448	3478	4268
449	3485	4259
450	3493	4253
451	3499	4243
452	3506	4233
453	3514	4226
454	3521	4217
455	3527	4208
456	3534	4199
457	3540	4190
458	3545	4179
459	3551	4169
460	3557	4159
461	3563	4149
462	3569	4139
463	3574	4129
464	3580	4119
465	3586	4110
466	3593	4100
467	3598	4090
468	3604	4080
469	3613	4074
470	3619	4065
471	3626	4056
472	3631	4046
473	3637	4036
474	3643	4026
475	3649	4017
476	3655	4007
477	3661	3998
478	3667	3988
479	3673	3979
480	3678	3969
481	3684	3959
482	3690	3950
483	3696	3940
484	3701	3930
485	3707	3920
486	3713	3911
487	3718	3901
488	3724	3892
489	3730	3882
490	3737	3874
491	3743	3865
492	3749	3855
493	3755	3846
494	3761	3837
